ResponseID,DUP,STARTDATE,ENDDATE,FINISHED,DUBIOUS,18YESORNO,COUNTRY,ZIP,DOB,YRSSURFING,WAVEPREF,WAVEPREFOTHER,BOARDPREF,BOARDPREFOTHER,ABILITY,SURFSPOT,SPOTTOWN,SPOTCO,SPOTSTATE,SPOTCOUNTRY,SPOTYRS,SPOTFAM,SURFSPERYEAR,BOTTOMCOND,BOTTOMCONDOTHER,BCHMGMTJET,BCHMGMTNAT,BCHMGMTWALL,BCHMGMTRIP,BCHMGMTSAND,BCHMGMTOTHERYN,BCHMGMTOTHER,BCHMGMTCOUNT,BCHMGMTIDK,SPOTWAVE,SPOTWAVEOTHER,BESTTIDE,5TIDE2,5TIDEMED,5TIDE6,5TIDEV6,V6BETTER,V6SHORTER,V6BACKW,V6LESSDANGER,V6CLIFFS,V6BIGSWELL,V6NEWPEAK,V6WAVEGONE,V6TAKEOFF,V6PACKDENSE,V6OTHERHAZ,PLACEIDN1,PLACEDEP1,PLACEIDN2,PLACEDEP2,PLACEIDN3,PLACEDEP3,PLACEIDN4,PLACEDEP4,PLACEIDN5,PLACEDEP5,PLACEIDN6,PLACEDEP6,PLACEBATTCOMP,WHYIMPORT,ACCESSBLOCKED,BLOCKEDHOW,NEVERSURFAGAIN,NEVERSURFAGAINEMO,IPLAT,IPLON,CCON-S,CCO,CCIT,LCPJur,LCPJurN-S,CSPOTLat,CSPOTLon,SURFSPOT,SL-SURFSPOT,SL-SPOTN-S,MORE_RES,LESS_RES,Secret
R_07DtEwTkiO0YLl3,0,4/11/14 7:36,4/11/14 7:49,1,,1,United States,90212,1996,8,slow point break,,shortboard,,4,Malibu,Malibu,Los Angeles,CA,USA,4,8,Weekly,"cobbles, boulders, or loose rocks",,,natural beaches or bluffs,,,,,,1,0,slow point break,,4,2,5,3,2,No,No,No,Yes,No,No,Yes,No,No,No,No,4,5,5,4,5,5,5,4,4,2,5,4,12,This is where I learned some of the most important skills in surfing. Dealing with crowds and reading how the wave changes at different spots. ,Yes,Water quality gets poor,Surfing this point is had been the best part of my teenaged years. Losing it would be terrible. ,Depressed and betrayed,33.88839722,-118.3089981,13,Los Angeles,Malibu,Malibu (City of),42,34.0339,-118.67781,Malibu,Malibu,106,,,
R_07Z1ZDgzFwtVZuR,0,3/11/14 15:58,3/11/14 16:09,1,,1,United States,92620,1980,10,fast beach break,,shortboard,,2,Huntington Beach,Huntington Beach,Orange,CA,USA,3,5,Weekly,Sand,,,,,,,other,Pier,1,0,fast beach break,,5,1,5,4,1,No,Yes,Yes,No,No,No,No,No,No,Yes,No,3,3,3,2,2,1,1,1,1,1,1,3,12,"Distance, convenient",No,,No,"Indifferent, there are other spots in Orange County with better quality waves",33.88859558,-117.8130951,14,Orange,Huntington Beach,Huntington Beach (City of),57,,,Huntington Beach,,,,1,
R_083vSdbkUGYfNPf,0,4/9/14 21:14,4/9/14 21:30,1,,1,United States,94018,1984,20,fast beach break,,shortboard,,5,The Jetty (Surfers Beach),El Granada,San Mateo,CA,USA,20,10,Monthly,Sand,jetty,jetty or groin,,seawall,riprap,,,,3,0,fast beach break,,2,2,2,2,1,No,Yes,Yes,No,Yes,Yes,No,Yes,I'm not sure,I'm not sure,Yes,4,3,4,2,2,2,3,2,2,-9999,2,3,11,close to home and a fun wind protrcted spot,Yes,all the sand washed away and rocks appeared,yes we used to surf it everyday but now the sand is gone and te waves dont break anymore.. all the sand is trapped in the harbor. the potencial at this spot is incredible...it used to be really good here a great commumity spot,destroyed heart broken. ,37.56300354,-122.3255005,7,San Mateo,El Granada,Half Moon Bay (City of),17,37.50007,,The Jetty (Surfers Beach),Princeton Jetty,31,,,
R_08SOOmzObiTRuyV,0,3/18/14 14:40,3/18/14 14:49,1,,1,United States,93101,1974,16,fast reef break,,shortboard,,3,Seals,Goleta,Santa Barbara,CA,USA,11,8,Weekly,"cobbles, boulders, or loose rocks",,,natural beaches or bluffs,,,,,,1,0,fast reef break,,4,4,5,2,1,No,I'm not sure,Yes,No,Yes,Yes,No,No,No,No,No,4,4,4,2,4,4,4,4,4,4,4,2,12,the surf,Yes,guards preventing established public coastal access ,"yes, I couldn't surf Seals",depresion,34.50210571,-120.1287003,11,Santa Barbara,Goleta,Goleta (City of),35,,,Seals,,,1,,
R_09bzF9SyP5LPu17,0,4/10/14 17:42,4/10/14 17:53,1,,1,United States,94127,1967,35,fast point break,,shortboard,,4,The Point,San Francisco,San Francisco,CA,USA,18,10,Daily,Sand and Reef,combo of sand and rocks,,natural beaches or bluffs,,,,,,1,0,fast point break,,2,5,4,1,1,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,5,5,4,2,5,5,5,4,5,3,5,4,12,best wave in town & is a left & goofy foot ,Yes,"government shut dow, Oil spill, Tsumani.","yes, pain and suffering",Major Sadness.,37.73120117,-122.3825989,6,San Francisco,San Francisco,San Francisco,13,37.8116,-122.4761,The Point,Fort Point,22,,,
R_09CqaCWWHdQByXH,0,4/8/14 11:00,4/8/14 11:09,1,,1,United States,94122,1958,11,fast beach break,,"hybrid, funboard, or egg",,2,Ocean Beach - Judah,San Francisco,San Francisco,CA,USA,12,9,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,4,4,4,3,2,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,5,4,5,4,5,4,5,4,3,3,5,3,12,I can walk there from my house.,Yes,"heavy rains resulting in sewage spill at Lincoln, Cosco Busan spill, red tide.",Yes.  I would have to move as I like the access and relatively 2 - key attitude of my neighbors.,angry,37.44979858,-122.2004013,6,San Francisco,San Francisco,San Francisco,13,37.759952,-122.513493,Ocean Beach - Judah,Ocean Beach SF,23,1,,
R_09xJDVQUew97bBX,0,4/26/14 18:25,4/26/14 18:32,1,,1,United States,92129,1994,12,fast beach break,,shortboard,,3,Blacks,La Jolla,San Diego,CA,USA,5,8,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,2,5,5,4,3,No,Yes,No,No,No,I'm not sure,No,No,Yes,Yes,No,4,4,5,5,4,4,4,4,3,4,5,3,12,Best waves in SD. ,Yes,Rain- pollution runoff,Not really. Maybe get sick,Fucking pissed.,38.53700256,-121.6631012,15,San Diego,La Jolla,San Diego (City of),72,32.8774,-117.25246,Blacks,Blacks,180,,,
R_09yPHPY9f6rSgD3,0,4/8/14 20:50,4/8/14 20:57,0,,1,United States,92024,1991,19,slow reef break,,shortboard,,5,Pipes,Solana Beach,San Diego,CA,USA,5,10,Daily,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,slow reef break,,4,2,3,2,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,3,3,2,2,2,1,3,1,1,1,1,3,12,It is close to where I live,No,,,,,,15,San Diego,Solana Beach,Solana Beach,70,,,Pipes,Pipes,173,,,
R_0AlgJMPvZzKYQgB,0,4/11/14 8:26,4/11/14 8:33,1,,1,United States,90814,1989,15,slow beach break,,shortboard,,3,Southside Seal Beach,Seal Beach,Orange,CA,USA,15,8,Yearly,Sand,,-9999,-9999,-9999,-9999,-9999,-9999,,6,-9999,fast beach break,,2,4,5,4,3,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,5,4,5,4,5,5,5,5,5,5,5,5,12,I have surfed this spot my whole life and grew up here. I also spread a few of my grandmother's ashes in the water off seal beach. A ritual for surfers who have family or friends pass away.,Yes,"Waves were too big, dirty water",I would be pretty upset and sad about not surfing a spot I have surfed my whole life. Every winter when it breaks it brings all of my friends together and we surf.,"Sadness, anger, frustration",33.77110291,-118.1423035,14,Orange,Seal Beach,Seal Beach (City of),56,33.73683,-118.10292,Southside Seal Beach,South Side13th Street,125,,,
R_0ANZzxOahTulGoB,0,4/26/14 18:05,4/26/14 18:17,1,,1,United States,92084,1981,15,fast beach break,,"hybrid, funboard, or egg",,3,Turn arounds,Carlsbad,San Diego,CA,USA,15,9,Daily,Sand and Reef,sand and rock reef,,natural beaches or bluffs,,,,,,1,0,fast beach break,,5,2,4,4,2,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,4,3,4,2,3,3,3,3,4,2,4,4,12,Have surfed this spot for years. I know most everyone that surfs here. Gets the best swell combos and wind protection of the surf spots in my area.  ,No,,Yes. It would be depressing. I'm sure I would just surf somewhere else tho. ,I'd be passed off for a period of time. It would feel weird also. ,33.15649414,-117.1707001,15,San Diego,Carlsbad,Carlsbad (City of),68,,,Turn arounds,,,1,,
R_0As7M2hZpir2dZr,0,4/9/14 20:01,4/9/14 20:18,1,,1,United States,94044,1979,15,slow beach break,,"hybrid, funboard, or egg",,4,Ocean Beach,San Francisco,San Francisco,CA,USA,12,10,Weekly,Sand,,,,,riprap,beach nourishment,,,2,0,fast beach break,,4,3,3,3,3,No,Yes,No,No,No,Yes,No,Yes,Yes,I'm not sure,No,4,3,4,5,3,4,4,4,4,3,5,4,12,Ocean beach make or break a surfer,Yes,Polluted water,My local surf spots would be limited,"Sadness, emptiness",37.65339661,-122.4230957,6,San Francisco,San Francisco,San Francisco,13,37.7739,-122.5137,Ocean Beach,Ocean Beach SF,23,,,
R_0BOiCJRQGqcsH9X,0,4/10/14 15:10,4/10/14 15:16,1,,1,United States,92663,1985,10,slow beach break,,shortboard,,3,36th Street,Newport Beach,Orange,CA,USA,10,9,Weekly,Sand,,jetty or groin,,,,,,,1,0,slow beach break,,2,2,5,4,1,No,No,Yes,No,No,Yes,No,Yes,No,No,No,3,4,3,2,3,2,3,3,3,3,3,4,12,,No,,,,38,-97,14,Orange,Newport Beach,Newport Beach (City of),59,33.61709,-117.93882,36th Street,36th St Newport,138,,,
R_0BPEkmw8vc5GYgB,0,4/9/14 8:27,4/9/14 8:43,1,,1,United States,93108,1991,11,fast reef break,,shortboard,,4,Hammonds,Montecito,Santa Barbara,CA,USA,11,10,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,5,3,4,5,4,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,5,5,5,3,5,4,5,3,4,4,5,5,12,Its close by and I don't have to drive down to Rincon even though Rincon has more length. ,Yes,Water Pollution is what keeps me from going out there. Heartbreaking.,No because I'm grateful enough for already having the chance to grow up by it.,It will forever be entombed in my imagination.  ,34.59579468,-120.1376038,11,Santa Barbara,Montecito,Santa Barbara County,33,34.4156,-119.6377,Hammonds,Hammonds,83,,,
R_0BrWbDUPnJAtYq1,0,4/10/14 13:20,4/10/14 13:27,1,,1,United States,92672,1983,25,fast beach break,,shortboard,,5,San Clemente State Beach,San Clemente,Orange,CA,USA,20,10,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,4,3,5,3,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,5,4,4,2,4,3,4,3,4,2,4,2,12,"It is home, it is fun, and it is consistent.",No,,"Yes, I would be far less happy.  I live where I live because of this break and my qualify of life would change.",Sadness.  Depression.  Lost.,33.66949463,-117.8231049,14,Orange,San Clemente,San Clemente (City of),65,33.40502,-117.60712,San Clemente State Beach,State Park,154,,,
R_0ca6Y9CuIAzftY1,0,4/12/14 15:06,4/12/14 15:24,1,,1,United States,92883,1970,20,slow beach break,,"hybrid, funboard, or egg",,3,San Onofre,San Onofre,San Diego,CA,USA,8,9,Weekly,"cobbles, boulders, or loose rocks",,,natural beaches or bluffs,,,,,,1,0,fast beach break,,4,2,5,4,1,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,5,4,5,4,5,4,5,4,4,4,5,2,12,it's one of the few places in southern ca that you can look at the shore and see no development. / The sense of peace this gives you is priceless and i have yet to find elsewhere in this region. ,No,,"abolutely, there would be an empty hole left in my heart and soul! i'd be forced to travel further to surf causing yet more pollution and in an area that's extremely crowded. There would be no more peace, just the stress of too many people too close, most of whom are dangerous to themselves and others!  ","it would be the same as loosing a dear lifelong friend. in one word it would leave me ""broken"" ",33.94140625,-117.9555054,15,San Diego,San Onofre,San Diego County,66,33.3738,-117.56803,San Onofre,San Onofre,160,,,
R_0cbtnYm3v70ISdT,0,4/11/14 10:38,4/11/14 10:45,1,,1,United States,92107,1975,20,fast beach break,,bodyboard,,4,Ocean Beach - Pier,Ocean Beach,San Diego,CA,USA,15,10,Daily,Sand,,,,,,,other,Pier,1,0,fast beach break,,6,1,2,5,3,Yes,No,No,No,No,Yes,Yes,No,No,No,No,4,3,3,1,2,2,4,2,3,1,4,4,12,It's close and has it's days.,Yes,,I'd have upgraded my life.,Kind of bummed.,32.88969421,-117.1335983,15,San Diego,Ocean Beach,San Diego (City of),72,32.748804,-117.254657,Ocean Beach - Pier,,,1,,
R_0CG882Cy63Hcp9P,0,5/6/14 15:11,5/6/14 15:21,1,,1,United States,92648,1963,15,fast beach break,,longboard ,,2,Huntington Beach - Pier Southside,Huntington Beach,Orange,CA,USA,15,10,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,I'm not sure,3,5,2,1,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,2,4,2,3,3,3,2,2,2,3,3,12,"Close to home, my kids surf there with me, always know people in the water, generally a good vibe.",No,,,,33.74740601,-117.9938965,14,Orange,Huntington Beach,Huntington Beach (City of),57,33.64403,-117.98555,Huntington Beach - Pier Southside,HB Pier Southside,132,,,
R_0cRUDjj3NSSL7xP,0,4/22/14 16:04,4/22/14 16:16,1,,1,United States,95472,1976,20,slow beach break,,shortboard,,4,Salmon Creek,Bodega Bay,Sonoma,CA,USA,14,10,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,slow beach break,,4,2,5,4,3,No,Yes,Yes,No,No,Yes,No,No,No,No,No,4,3,4,2,3,3,4,3,4,2,4,4,12,"It is my local beach, it works most often and has given me the some of the best memories of my life. I share it with friends and family and it feels like home.",Yes,Very bad red tide. Great white shark,That would suck. It is the best beach break in the county and travel to another beach would really be a downer and a lot more gas.,"Pissed off, really pissed off! I would take action to prevent that does not happen.",38.581604,-121.4944,3,Sonoma,Bodega Bay,Sonoma County,11,38.3538,-123.0684,Salmon Creek,Salmon Creek,15,,,
R_0cTYE7HwaE8HIk5,0,4/10/14 15:28,4/10/14 15:56,1,,1,United States,90025,1988,10,slow point break,,no preference,all except SUP,3,Topanga,Malibu,Los Angeles,CA,USA,4,9,Weekly,"cobbles, boulders, or loose rocks",,,,,,,other,river/canyon run off,1,0,slow point break,,5,2,5,4,3,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,3,5,5,3,4,4,4,4,2,3,4,4,12,The experiences speak for themselves.  Nothing compares.,Yes,"Localism, rain runoff, crowds",Not really.  Still waves to surf other places.,Bummer.,40.73910522,-73.98259735,13,Los Angeles,Malibu,Los Angeles County,43,34.03807,-118.58182,Topanga,Topanga,107,,,
R_0cXC6v6bT6pUDKB,0,4/9/14 9:15,4/9/14 9:24,1,,1,United States,93065,1971,30,fast beach break,,shortboard,,4,Silver Strand,Oxnard,Ventura,CA,USA,15,10,Weekly,Sand,,jetty or groin,,,,beach nourishment,,,2,0,fast beach break,,2,4,5,3,1,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,5,5,5,3,5,5,5,4,5,3,4,3,12,"It's where the waves are the biggest, heaviest, and it barrels hard, thinning the crown on bigger days. THere is room to move, spread out, it's complicated, and you have to check it to know if it's good. Really good days of really powerful waves.",Yes,"Rainfall, every time it rains, and when they dredge the harbor next to it and pipe in the f2 to the beach. ","Yes, I would probably move if I was younger, or would be looking. It gives me a deep sense of satisfaction on good days, and without that feeling, I would seek it elsewhere. ","Sad, depressed, heavy heart, tearful, etc...",34.29420471,-118.5070953,12,Ventura,Oxnard,Oxnard (City of),40,34.1553,,Silver Strand,Oxnard,100,,,
R_0d1ckjXrua0wwZL,0,4/11/14 0:16,4/11/14 0:23,1,,1,United States,92663,1995,11,fast beach break,,longboard ,,4,56th Street - 57th/54th Street,Newport Beach,Orange,CA,USA,11,10,Daily,Sand,,jetty or groin,,,,,,,1,0,fast beach break,,2,4,5,3,2,No,No,Yes,No,No,Yes,No,No,I'm not sure,No,No,4,4,5,4,5,4,5,4,3,2,5,3,12,I've grown up surfing this place.  I understand the wave better than anywhere else and I feel the most comfortable there. It is also a very unique wave.,No,,Yes. Tremendously. I live about 100 yards from the spot and I would have to go somewhere else to surf! It is one of my favorite waves and also the most convenient one for me.,I would be devistated. I have so many memories both with friends and the ocean there.,33.78660583,-118.2986984,14,Orange,Newport Beach,Newport Beach (City of),59,33.62304,-117.94742,56th Street - 57th/54th Street,54th/56th St Newport,136,,,
R_0D4Qfeeuep0dBQh,0,3/16/14 12:01,3/16/14 12:10,1,,1,United States,92075,1977,3,slow reef break,,longboard ,,2,Cardiff,Encinitas,San Diego,CA,USA,2,7,Weekly,I'm not sure,,,,,,beach nourishment,,,1,0,slow reef break,,5,3,4,3,1,No,No,No,Yes,No,No,No,Yes,No,No,No,5,4,4,2,4,4,4,3,3,2,4,4,12,It's 10 min from my house.  In small swell there usually are surf able waves.  ,No,,I would be dispp,Angry ,33.97920227,-118.0327988,15,San Diego,Encinitas,Encinitas (City of),69,33.0155,-117.2834,Cardiff,Cardiff,175,,,
R_0dIxwkWuJ22OAkZ,0,4/10/14 13:10,4/10/14 13:17,1,,1,United States,94044,1994,2,slow beach break,,shortboard,,4,Lindamar,Pacifica,San Mateo,CA,USA,2,9,Weekly,Sand,,,,seawall,,,,,1,0,slow beach break,,6,2,1,5,5,Yes,No,No,No,No,Yes,Yes,No,No,No,No,4,2,4,2,4,2,4,2,2,2,4,4,12,"closest consistently decent spot, with ocasional exceptional days. well protected and local topography turns winds offshore during storms while other spots are b2n out.",No,,i would not be able to surf the spot i learned to surf at. ,"i would feel sad, and dissapointed.",35.34710693,-120.4552994,7,San Mateo,Pacifica,Pacifica (City of),16,37.59951,,Lindamar,Pacifica/Lindamar,27,,,
R_0dKLjCaY1Pa38zP,0,4/9/14 7:43,4/9/14 7:53,1,,1,United States,95060,1967,20,slow point break,,"hybrid, funboard, or egg",,3,Pleasure Point,Santa Cruz,Santa Cruz,CA,USA,20,10,Weekly,Sand and Reef,sand and rock ,,,seawall,,,,,1,0,slow point break,,4,3,5,2,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,4,4,4,3,5,5,4,3,4,3,4,4,12,It's just a super fun spot to surf. ,No,,Not really but it's one of the main reasons why i live in Santa Cruz. ,I would be super bummed. Like losing an old friend. ,37.50790405,-121.9598999,8,Santa Cruz,Santa Cruz,Santa Cruz County,18,36.95486,,Pleasure Point,Pleasure Point,48,,,
